date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:53	51234/51234	---M--	200	added ('OK')	image/png	etag:%2261c846e9-c822%22	https://prium.github.io/elixir/v3.0.0/assets/img/icons/world-globe.png	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/icons/world-globe.png	(from https://prium.github.io/elixir/v3.0.0/)
13:48:53	50871/50871	---M--	200	added ('OK')	image/png	etag:%2261c846e9-c6b7%22	https://prium.github.io/elixir/v3.0.0/assets/img/icons/money.png	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/icons/money.png	(from https://prium.github.io/elixir/v3.0.0/)
13:48:53	29144/29144	---M--	200	added ('OK')	image/png	etag:%2261c846e9-71d8%22	https://prium.github.io/elixir/v3.0.0/assets/img/icons/data-analytics.png	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/icons/data-analytics.png	(from https://prium.github.io/elixir/v3.0.0/)
13:48:53	47180/47180	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-b84c%22	https://prium.github.io/elixir/v3.0.0/assets/img/portrait-3.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/portrait-3.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:53	49864/49864	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-c2c8%22	https://prium.github.io/elixir/v3.0.0/assets/img/portrait-4.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/portrait-4.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:54	48745/48745	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-be69%22	https://prium.github.io/elixir/v3.0.0/assets/img/portrait-5.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/portrait-5.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:54	24517/24517	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-5fc5%22	https://prium.github.io/elixir/v3.0.0/assets/img/portrait-6.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/portrait-6.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:54	28660/28660	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-6ff4%22	https://prium.github.io/elixir/v3.0.0/assets/img/portrait-7.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/portrait-7.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:54	44028/44028	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-abfc%22	https://prium.github.io/elixir/v3.0.0/assets/img/portrait-1.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/portrait-1.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:55	304384/304384	---M--	200	added ('OK')	image/jpeg	etag:%2261c846e9-4a500%22	https://prium.github.io/elixir/v3.0.0/assets/img/background-15.jpg	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/background-15.jpg	(from https://prium.github.io/elixir/v3.0.0/)
13:48:55	37346/37346	---M--	200	added ('OK')	image/png	etag:%2261c846e9-91e2%22	https://prium.github.io/elixir/v3.0.0/assets/img/checkmark.png	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/checkmark.png	(from https://prium.github.io/elixir/v3.0.0/)
13:48:55	23447/23447	---M--	200	added ('OK')	image/png	etag:%2261c846e9-5b97%22	https://prium.github.io/elixir/v3.0.0/assets/img/client1.png	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/client1.png	(from https://prium.github.io/elixir/v3.0.0/)
13:48:55	22444/22444	---M--	200	added ('OK')	image/png	etag:%2261c846e9-57ac%22	https://prium.github.io/elixir/v3.0.0/assets/img/client2.png	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/client2.png	(from https://prium.github.io/elixir/v3.0.0/)
